	n	pred
0	1	0.4167007
1	1	0.53360933
2	1	0.5386365
3	1	0.603686
4	1	0.22110389
5	1	0.6264283
6	1	0.43166238
7	1	0.4184132
8	1	0.45758966
9	1	0.49728665
10	1	0.41064402
11	1	0.5257721
12	1	0.6108955
13	1	0.5250439
14	1	0.63363194
15	1	0.41796425
16	1	0.5908012
17	1	0.6815307
18	1	0.5945417
19	1	0.5447735
20	4	0.43142998
21	4	0.570461
22	4	0.4546794
23	4	0.37677354
24	4	0.39027497
25	4	0.49664116
26	4	0.4857645
27	4	0.42404816
28	4	0.45384052
29	4	0.4715474
30	4	0.5159864
31	4	0.46084115
32	4	0.4258493
33	4	0.3035442
34	4	0.38895008
35	4	0.42616972
36	4	0.42918816
37	4	0.5165664
38	4	0.4291869
39	4	0.44235674
40	7	0.34203628
41	7	-0.022402635
42	7	0.28992453
43	7	0.30630997
44	7	0.2098808
45	7	0.19429497
46	7	0.32434908
47	7	0.22734608
48	7	0.23009266
49	7	0.2584088
50	7	0.28629822
51	7	0.21182849
52	7	0.15960997
53	7	0.34709364
54	7	-0.0692911
55	7	0.07667142
56	7	0.20527935
57	7	0.13117498
58	7	0.15823051
59	7	0.053762343
60	10	0.044624295
61	10	0.030237785
62	10	-0.10673088
63	10	0.016233953
64	10	-0.070345744
65	10	-0.006671824
66	10	0.019836592
67	10	-0.1262735
68	10	-0.021893788
69	10	-0.060726345
70	10	0.026746614
71	10	-0.104268596
72	10	0.020749146
73	10	0.06397373
74	10	-0.09925383
75	10	-0.087980896
76	10	-0.117130056
77	10	0.20540297
78	10	-0.22716314
79	10	0.025992226
80	13	-0.06809924
81	13	0.066421136
82	13	-0.083285116
83	13	-0.023781046
84	13	0.014167965
85	13	-0.12819098
86	13	-0.24527249
87	13	-0.28087446
88	13	-0.012178658
89	13	-0.00055017404
90	13	-0.05824897
91	13	-0.08630483
92	13	-0.1472835
93	13	-0.3563873
94	13	-0.059283987
95	13	-0.048821088
96	13	-0.0152809555
97	13	-0.15590738
98	13	-0.16330138
99	13	0.051722977
100	16	-0.15537696
101	16	-0.07207498
102	16	-0.20233595
103	16	-0.09032679
104	16	-0.30112967
105	16	-0.3084108
106	16	-0.09362317
107	16	-0.28688416
108	16	-0.4622797
109	16	-0.2722992
110	16	-0.22942251
111	16	-0.093177885
112	16	-0.103837654
113	16	-0.04020649
114	16	-0.08033554
115	16	-0.014106194
116	16	-0.22085214
117	16	-0.08197236
118	16	-0.10067294
119	16	-0.12160592
120	19	-0.10204417
121	19	0.008611451
122	19	-0.21236578
123	19	-0.16069753
124	19	-0.15624587
125	19	-0.2893595
126	19	-0.5123233
127	19	-0.17109087
128	19	-0.14495797
129	19	-0.09526051
130	19	-0.06802307
131	19	-0.21978363
132	19	0.07598038
133	19	-0.16765378
134	19	-0.3652088
135	19	-0.23297472
136	19	-0.2274273
137	19	-0.26108405
138	19	-0.19299246
139	19	-0.27284592
140	22	-0.11569309
141	22	-0.24324942
142	22	-0.42271358
143	22	-0.12017705
144	22	-0.20895211
145	22	-0.13974793
146	22	-0.22886743
147	22	-0.20360512
148	22	-0.29764524
149	22	-0.28548464
150	22	-0.018309526
151	22	-0.21141106
152	22	-0.171883
153	22	-0.14098614
154	22	-0.04835233
155	22	-0.28609806
156	22	-0.17628506
157	22	-0.13723849
158	22	-0.40156177
159	22	-0.16308531
