	n	pred
0	3	-1.4685664
1	3	-0.9936064
2	3	-0.9903193
3	3	-0.9278818
4	3	-0.21726865
5	3	-0.75866324
6	3	-1.755945
7	3	-1.174691
8	3	-1.4546912
9	3	-1.198924
10	3	-0.73400015
11	3	-1.4226166
12	3	-1.2901301
13	3	-1.0997106
14	3	-2.0258017
15	3	-0.7746691
16	3	-1.0478685
17	3	-1.0366771
18	3	-0.73771495
19	3	-0.81371385
20	4	0.22088519
21	4	0.1209537
22	4	0.3062372
23	4	0.21369776
24	4	0.4457172
25	4	0.23309025
26	4	0.32378164
27	4	0.195732
28	4	0.24243145
29	4	0.014375193
30	4	0.19342285
31	4	0.17275712
32	4	0.3710236
33	4	0.1886003
34	4	0.36874038
35	4	-0.24247396
36	4	0.24038427
37	4	0.09547393
38	4	0.3809637
39	4	0.009161039
40	5	0.7075464
41	5	0.74893236
42	5	0.56082827
43	5	0.6729694
44	5	0.76978785
45	5	0.50369704
46	5	0.62180555
47	5	0.5411136
48	5	0.8421105
49	5	0.55406576
50	5	0.7149449
51	5	0.60869527
52	5	0.6608164
53	5	0.7627999
54	5	0.8324999
55	5	0.6684504
56	5	0.5381648
57	5	0.6311512
58	5	0.6500684
59	5	0.7302434
60	6	0.6539715
61	6	0.68460566
62	6	0.8564091
63	6	0.6394846
64	6	0.59212655
65	6	0.86541694
66	6	0.6393978
67	6	0.46462038
68	6	0.62403655
69	6	0.50658923
70	6	0.74286634
71	6	0.8169949
72	6	0.47471127
73	6	0.4432257
74	6	0.78062826
75	6	0.5080662
76	6	0.892287
77	6	0.32031268
78	6	0.7345361
79	6	0.6921242
80	7	0.63257337
81	7	0.59074223
82	7	0.6437289
83	7	0.73384356
84	7	0.52235025
85	7	0.50927186
86	7	0.37200332
87	7	0.48620725
88	7	0.7316996
89	7	0.46709016
90	7	0.47029868
91	7	0.38717642
92	7	0.49138507
93	7	0.715279
94	7	0.6068882
95	7	-0.1832164
96	7	0.5455295
97	7	0.67539126
98	7	0.31415617
99	7	0.44103017
100	8	0.5182994
101	8	0.38336354
102	8	0.15228179
103	8	0.24567485
104	8	0.61204845
105	8	0.20491591
106	8	0.221482
107	8	0.28163266
108	8	-0.013950022
109	8	0.4403268
110	8	0.11396827
111	8	-0.20397308
112	8	0.56139857
113	8	0.44458959
114	8	0.62047476
115	8	0.2845877
116	8	0.6401953
117	8	0.26597828
118	8	-0.037059717
119	8	0.37635183
120	9	0.011585357
121	9	0.3256978
122	9	0.55790764
123	9	0.075191
124	9	-0.17260645
125	9	0.3874835
126	9	0.31226355
127	9	0.29750738
128	9	0.3915297
129	9	0.4082186
130	9	0.38847303
131	9	0.2451628
132	9	-0.1682005
133	9	0.42281374
134	9	-0.41677865
135	9	0.47806928
136	9	-0.059241146
137	9	0.48487794
138	9	-0.004107369
139	9	0.37183136
140	10	0.046632364
141	10	-0.17231335
142	10	-0.07614971
143	10	0.24298577
144	10	0.104198776
145	10	-0.47216126
146	10	-0.23700413
147	10	-0.4661497
148	10	-0.20243238
149	10	0.2556773
150	10	-0.038088843
151	10	0.17830391
152	10	-0.23847616
153	10	-0.09370965
154	10	-0.039534107
155	10	0.05241265
156	10	0.14662579
157	10	-0.32213163
158	10	-0.4047838
159	10	0.024388935
