	n	pred
0	0	0.50009006
1	0	0.54023814
2	0	0.5133409
3	0	0.5858585
4	0	-0.10543206
5	0	0.48480874
6	0	0.46394852
7	0	0.3380726
8	0	0.6354346
9	0	0.71468204
10	0	0.43306094
11	0	0.56896585
12	0	0.5821505
13	0	0.6048704
14	0	0.6322792
15	0	0.318159
16	0	0.54895294
17	0	0.53131825
18	0	0.55908877
19	0	0.5723684
20	12	0.5535437
21	12	0.3894688
22	12	0.61349696
23	12	0.52457505
24	12	0.4407428
25	12	0.651277
26	12	0.49880174
27	12	0.58507687
28	12	0.48273966
29	12	0.48524427
30	12	0.5756425
31	12	0.52394015
32	12	0.5040362
33	12	0.33925045
34	12	0.3763622
35	12	0.5106613
36	12	0.5047962
37	12	0.60884005
38	12	0.5187943
39	12	0.59149235
40	24	0.35786694
41	24	0.20492882
42	24	0.56360644
43	24	0.55626315
44	24	0.48778167
45	24	0.44113016
46	24	0.43736637
47	24	0.4312691
48	24	0.51551366
49	24	0.57148266
50	24	0.48880452
51	24	0.38778803
52	24	0.3068299
53	24	0.54776144
54	24	0.38795555
55	24	0.31591418
56	24	0.43906268
57	24	0.43174988
58	24	0.50149274
59	24	0.40968835
60	36	0.5089946
61	36	0.25143895
62	36	0.2547981
63	36	0.5399461
64	36	0.4447194
65	36	0.2985322
66	36	0.42521155
67	36	0.3631556
68	36	0.48491007
69	36	0.28660572
70	36	0.47337168
71	36	0.39472175
72	36	0.41441587
73	36	0.4860518
74	36	0.41829714
75	36	0.30888745
76	36	0.32837924
77	36	0.25248617
78	36	0.43834293
79	36	0.42663062
80	48	0.3297177
81	48	0.3984616
82	48	0.33477378
83	48	0.5151564
84	48	0.52472246
85	48	0.49141067
86	48	0.49524516
87	48	0.40725237
88	48	0.59714586
89	48	0.34740013
90	48	0.40273228
91	48	0.38260597
92	48	0.39915124
93	48	0.4878222
94	48	0.36476988
95	48	-0.10743101
96	48	0.51947063
97	48	0.4665759
98	48	0.43217945
99	48	0.47832537
100	60	0.5535925
101	60	0.26851428
102	60	0.46465808
103	60	0.50548315
104	60	0.51191354
105	60	0.5652496
106	60	0.4514205
107	60	0.4843951
108	60	0.6412106
109	60	0.562676
110	60	0.34265763
111	60	0.56967616
112	60	0.4861208
113	60	0.40333924
114	60	0.55090135
115	60	0.5188532
116	60	0.5401498
117	60	0.5640167
118	60	0.5078846
119	60	0.48432344
120	72	0.5706234
121	72	0.5185485
122	72	0.5233775
123	72	0.49429974
124	72	0.45942253
125	72	0.6469479
126	72	0.46629193
127	72	0.5878976
128	72	0.30692697
129	72	0.5141684
130	72	0.58934194
131	72	0.4896101
132	72	0.0006737956
133	72	0.6550077
134	72	0.4899912
135	72	0.53394526
136	72	0.5056468
137	72	0.3813976
138	72	0.3949153
139	72	0.6226636
140	84	0.40308487
141	84	0.46725434
142	84	0.5557792
143	84	0.6418033
144	84	0.5919235
145	84	0.5191952
146	84	0.46123093
147	84	0.57690036
148	84	0.26736686
149	84	0.5864956
150	84	0.5113223
151	84	0.34238315
152	84	0.44501913
153	84	0.57445955
154	84	0.52502435
155	84	0.34653217
156	84	0.533133
157	84	0.57181436
158	84	0.6006048
159	84	0.524494
