	n	pred
0	0	0.5486128
1	0	0.48620847
2	0	0.63433206
3	0	0.69419694
4	0	0.39220574
5	0	0.5440509
6	0	0.49378502
7	0	0.50152105
8	0	0.55466926
9	0	0.5593973
10	0	0.6353389
11	0	0.5868661
12	0	0.5443907
13	0	0.62685627
14	0	0.5740236
15	0	0.5195164
16	0	0.66832906
17	0	0.6280015
18	0	0.5701193
19	0	0.64005303
20	3	0.6752891
21	3	0.37530845
22	3	0.6698184
23	3	0.4884678
24	3	0.5215522
25	3	0.7069845
26	3	0.743908
27	3	0.56678855
28	3	0.64717716
29	3	0.6530782
30	3	0.5041655
31	3	0.6275376
32	3	0.5795421
33	3	0.48335654
34	3	0.48778942
35	3	0.5568341
36	3	0.53995454
37	3	0.75386816
38	3	0.512429
39	3	0.56558603
40	6	0.48420745
41	6	0.20280504
42	6	0.5763381
43	6	0.5880284
44	6	0.6511146
45	6	0.51858586
46	6	0.3812296
47	6	0.53790706
48	6	0.5985002
49	6	0.625094
50	6	0.7191165
51	6	0.53266275
52	6	0.5046309
53	6	0.54537773
54	6	0.6742549
55	6	0.5477166
56	6	0.44895434
57	6	0.582946
58	6	0.36474448
59	6	0.5248472
60	9	0.6364607
61	9	0.38883895
62	9	0.42246893
63	9	0.61117214
64	9	0.49860245
65	9	0.59711856
66	9	0.5016024
67	9	0.37462115
68	9	0.36798346
69	9	0.4878217
70	9	0.44993746
71	9	0.51144475
72	9	0.5952702
73	9	0.51095253
74	9	0.6617945
75	9	0.4838881
76	9	0.46502626
77	9	0.5923059
78	9	0.24779439
79	9	0.4987364
80	12	0.27074978
81	12	0.54958797
82	12	0.44762176
83	12	0.43927214
84	12	0.6395001
85	12	0.3475817
86	12	0.30556202
87	12	0.3867828
88	12	0.5497536
89	12	0.30434275
90	12	0.53708297
91	12	0.40060222
92	12	0.4831333
93	12	0.5683143
94	12	0.54003155
95	12	-0.05506926
96	12	0.5539778
97	12	0.37146693
98	12	0.50849295
99	12	0.37645072
100	15	0.35296348
101	15	0.24698077
102	15	0.58832633
103	15	0.33447078
104	15	0.33300218
105	15	0.48593163
106	15	0.22889002
107	15	0.30591136
108	15	0.548276
109	15	0.46330684
110	15	0.6373002
111	15	0.44173783
112	15	0.26282412
113	15	0.12957533
114	15	0.28845587
115	15	0.44338584
116	15	0.46967474
117	15	0.6431713
118	15	0.41825044
119	15	0.12827034
120	18	0.5048752
121	18	0.24088205
122	18	0.38610423
123	18	0.24511106
124	18	0.4253468
125	18	0.58653724
126	18	0.22955503
127	18	0.38166872
128	18	0.15971696
129	18	0.3257406
130	18	0.4154272
131	18	0.27694994
132	18	0.30365926
133	18	0.43968785
134	18	0.31236285
135	18	0.31533727
136	18	0.3452106
137	18	0.4175958
138	18	0.13938633
139	18	0.37199783
140	21	0.25625005
141	21	0.12639998
142	21	0.40593547
143	21	0.331807
144	21	0.20146981
145	21	0.13073964
146	21	0.31512427
147	21	-0.17728955
148	21	-0.041536286
149	21	0.41292715
150	21	0.28192103
151	21	0.38458812
152	21	0.0659977
153	21	0.1642972
154	21	0.3926044
155	21	-0.26978654
156	21	-0.2237701
157	21	0.39985305
158	21	0.27992657
159	21	0.3297417
