	n	pred
0	0.5	0.15594456
1	0.5	0.053441994
2	0.5	-0.059493028
3	0.5	-0.11086337
4	0.5	0.20207775
5	0.5	0.1809559
6	0.5	-0.32317835
7	0.5	-0.1918977
8	0.5	0.02554771
9	0.5	0.3278869
10	0.5	-0.16095504
11	0.5	0.062715374
12	0.5	-0.050622046
13	0.5	0.1327835
14	0.5	0.18923631
15	0.5	-0.067455836
16	0.5	0.1914087
17	0.5	-0.14719316
18	0.5	0.043948226
19	0.5	0.22937042
20	0.65	-0.048976332
21	0.65	0.20493603
22	0.65	0.55309296
23	0.65	0.34778172
24	0.65	0.20732048
25	0.65	0.43160778
26	0.65	0.053214043
27	0.65	0.4802848
28	0.65	0.30136293
29	0.65	0.3800369
30	0.65	0.35772482
31	0.65	0.17072785
32	0.65	0.29125386
33	0.65	0.5177813
34	0.65	0.37407783
35	0.65	0.3147114
36	0.65	0.21016647
37	0.65	0.48493904
38	0.65	0.3339961
39	0.65	0.42044255
40	0.8	0.27713406
41	0.8	0.2598308
42	0.8	0.4505797
43	0.8	0.43435135
44	0.8	0.6583088
45	0.8	0.47868434
46	0.8	0.33831704
47	0.8	0.48868084
48	0.8	0.6248801
49	0.8	0.57802266
50	0.8	0.48992285
51	0.8	0.50866544
52	0.8	0.44069847
53	0.8	0.61329156
54	0.8	0.38148808
55	0.8	0.33682218
56	0.8	0.5639537
57	0.8	0.38324383
58	0.8	0.38907194
59	0.8	0.49009386
60	0.9500000000000001	0.66718614
61	0.9500000000000001	0.43882114
62	0.9500000000000001	0.5869741
63	0.9500000000000001	0.5829364
64	0.9500000000000001	0.6302874
65	0.9500000000000001	0.7097913
66	0.9500000000000001	0.59758765
67	0.9500000000000001	0.44835854
68	0.9500000000000001	0.5329182
69	0.9500000000000001	0.6346243
70	0.9500000000000001	0.54386103
71	0.9500000000000001	0.5167327
72	0.9500000000000001	0.6056442
73	0.9500000000000001	0.48788798
74	0.9500000000000001	0.68254006
75	0.9500000000000001	0.6274049
76	0.9500000000000001	0.5369057
77	0.9500000000000001	0.49131253
78	0.9500000000000001	0.5451501
79	0.9500000000000001	0.5496951
80	1.1	0.6015018
81	1.1	0.57735026
82	1.1	0.55748016
83	1.1	0.47706637
84	1.1	0.5493242
85	1.1	0.6554737
86	1.1	0.4440402
87	1.1	0.40950766
88	1.1	0.63931173
89	1.1	0.577061
90	1.1	0.49755803
91	1.1	0.6271877
92	1.1	0.5500166
93	1.1	0.6449702
94	1.1	0.64313453
95	1.1	-0.056953095
96	1.1	0.6426787
97	1.1	0.55922407
98	1.1	0.6615419
99	1.1	0.5279582
100	1.25	0.43866318
101	1.25	0.38999856
102	1.25	0.563463
103	1.25	0.44511357
104	1.25	0.5658882
105	1.25	0.47900108
106	1.25	0.39241162
107	1.25	0.55424887
108	1.25	0.5372801
109	1.25	0.49296552
110	1.25	0.4410565
111	1.25	0.38821223
112	1.25	0.39587685
113	1.25	0.34749436
114	1.25	0.49771267
115	1.25	0.39444542
116	1.25	0.5978948
117	1.25	0.42646813
118	1.25	0.51286066
119	1.25	0.37233517
120	1.4000000000000001	0.3471085
121	1.4000000000000001	0.41479385
122	1.4000000000000001	0.5141204
123	1.4000000000000001	0.11150793
124	1.4000000000000001	0.39656824
125	1.4000000000000001	0.48486647
126	1.4000000000000001	0.5211191
127	1.4000000000000001	0.38502082
128	1.4000000000000001	0.35832933
129	1.4000000000000001	0.26622772
130	1.4000000000000001	0.25860354
131	1.4000000000000001	0.2495639
132	1.4000000000000001	0.2821954
133	1.4000000000000001	0.38110405
134	1.4000000000000001	0.5096224
135	1.4000000000000001	0.4053192
136	1.4000000000000001	0.39067692
137	1.4000000000000001	0.42773882
138	1.4000000000000001	0.3461967
139	1.4000000000000001	0.21985847
140	1.5500000000000003	0.28072292
141	1.5500000000000003	0.4494936
142	1.5500000000000003	0.37498084
143	1.5500000000000003	0.17953797
144	1.5500000000000003	0.36276597
145	1.5500000000000003	0.37549368
146	1.5500000000000003	0.21476607
147	1.5500000000000003	0.24224666
148	1.5500000000000003	0.21029004
149	1.5500000000000003	0.3112201
150	1.5500000000000003	0.3318992
151	1.5500000000000003	0.3809605
152	1.5500000000000003	0.39558005
153	1.5500000000000003	0.28123468
154	1.5500000000000003	0.16631876
155	1.5500000000000003	0.36457264
156	1.5500000000000003	0.2074882
157	1.5500000000000003	0.27011365
158	1.5500000000000003	0.49689227
159	1.5500000000000003	0.33038765
