	n	pred
0	0.5	0.27077746
1	0.5	0.35382438
2	0.5	0.39650074
3	0.5	0.18016279
4	0.5	0.08960292
5	0.5	0.2929735
6	0.5	0.24302714
7	0.5	0.3075028
8	0.5	0.23609379
9	0.5	0.3781003
10	0.5	0.25977156
11	0.5	0.18978153
12	0.5	0.3364949
13	0.5	0.35847205
14	0.5	0.36984485
15	0.5	0.3497771
16	0.5	0.38976184
17	0.5	0.33256155
18	0.5	0.2779229
19	0.5	0.31500235
20	0.7	0.36099902
21	0.7	0.5103747
22	0.7	0.4548926
23	0.7	0.4225714
24	0.7	0.45705053
25	0.7	0.49232456
26	0.7	0.41866136
27	0.7	0.30489025
28	0.7	0.37543136
29	0.7	0.33601826
30	0.7	0.38115257
31	0.7	0.36442825
32	0.7	0.3558219
33	0.7	0.23818395
34	0.7	0.28768742
35	0.7	0.4643115
36	0.7	0.3721616
37	0.7	0.44520476
38	0.7	0.35788074
39	0.7	0.35974437
40	0.8999999999999999	0.5064545
41	0.8999999999999999	0.47799557
42	0.8999999999999999	0.5279662
43	0.8999999999999999	0.502701
44	0.8999999999999999	0.37773657
45	0.8999999999999999	0.5257527
46	0.8999999999999999	0.3934336
47	0.8999999999999999	0.42046836
48	0.8999999999999999	0.53430134
49	0.8999999999999999	0.4443339
50	0.8999999999999999	0.46668863
51	0.8999999999999999	0.40591896
52	0.8999999999999999	0.58067995
53	0.8999999999999999	0.62179565
54	0.8999999999999999	0.5148661
55	0.8999999999999999	0.29057685
56	0.8999999999999999	0.5387662
57	0.8999999999999999	0.4050008
58	0.8999999999999999	0.35667837
59	0.8999999999999999	0.4086655
60	1.0999999999999999	0.5542955
61	1.0999999999999999	0.4124449
62	1.0999999999999999	0.47111222
63	1.0999999999999999	0.46101323
64	1.0999999999999999	0.3987768
65	1.0999999999999999	0.47432786
66	1.0999999999999999	0.41551134
67	1.0999999999999999	0.5437341
68	1.0999999999999999	0.4202455
69	1.0999999999999999	0.33683348
70	1.0999999999999999	0.4672183
71	1.0999999999999999	0.40646702
72	1.0999999999999999	0.5327544
73	1.0999999999999999	0.40018174
74	1.0999999999999999	0.43955338
75	1.0999999999999999	0.3700165
76	1.0999999999999999	0.40715435
77	1.0999999999999999	0.25724912
78	1.0999999999999999	0.529235
79	1.0999999999999999	0.38203737
80	1.2999999999999998	0.38075975
81	1.2999999999999998	0.4216315
82	1.2999999999999998	0.34037268
83	1.2999999999999998	0.30672878
84	1.2999999999999998	0.24004935
85	1.2999999999999998	0.41684395
86	1.2999999999999998	0.34382984
87	1.2999999999999998	0.46127495
88	1.2999999999999998	0.39159867
89	1.2999999999999998	0.38766667
90	1.2999999999999998	0.3164556
91	1.2999999999999998	0.39463598
92	1.2999999999999998	0.36320174
93	1.2999999999999998	0.41716588
94	1.2999999999999998	0.41488475
95	1.2999999999999998	0.09579238
96	1.2999999999999998	0.5269259
97	1.2999999999999998	0.48435566
98	1.2999999999999998	0.4804759
99	1.2999999999999998	0.4386958
100	1.4999999999999998	0.41410995
101	1.4999999999999998	0.35517558
102	1.4999999999999998	0.35756165
103	1.4999999999999998	0.3668845
104	1.4999999999999998	0.3221011
105	1.4999999999999998	0.44846743
106	1.4999999999999998	0.34468743
107	1.4999999999999998	0.40491125
108	1.4999999999999998	0.43478155
109	1.4999999999999998	0.34240097
110	1.4999999999999998	0.31877872
111	1.4999999999999998	0.30221286
112	1.4999999999999998	0.35913515
113	1.4999999999999998	0.49120495
114	1.4999999999999998	0.31730267
115	1.4999999999999998	0.3925291
116	1.4999999999999998	0.38025323
117	1.4999999999999998	0.4325626
118	1.4999999999999998	0.34412315
119	1.4999999999999998	0.41890123
120	1.6999999999999997	0.3055967
121	1.6999999999999997	0.34536234
122	1.6999999999999997	0.3064141
123	1.6999999999999997	0.27894107
124	1.6999999999999997	0.34513983
125	1.6999999999999997	0.38530415
126	1.6999999999999997	0.37928703
127	1.6999999999999997	0.3569855
128	1.6999999999999997	0.4083909
129	1.6999999999999997	0.31576553
130	1.6999999999999997	0.32907325
131	1.6999999999999997	0.32448438
132	1.6999999999999997	0.2571896
133	1.6999999999999997	0.3153962
134	1.6999999999999997	0.37993866
135	1.6999999999999997	0.26710275
136	1.6999999999999997	0.3733259
137	1.6999999999999997	0.36110497
138	1.6999999999999997	0.44630083
139	1.6999999999999997	0.36384475
140	1.8999999999999997	0.33581987
141	1.8999999999999997	0.3609061
142	1.8999999999999997	0.36208352
143	1.8999999999999997	0.3439566
144	1.8999999999999997	0.3729725
145	1.8999999999999997	0.41077068
146	1.8999999999999997	0.31450382
147	1.8999999999999997	0.23566034
148	1.8999999999999997	0.28323635
149	1.8999999999999997	0.3453656
150	1.8999999999999997	0.24628665
151	1.8999999999999997	0.39703697
152	1.8999999999999997	0.40975288
153	1.8999999999999997	0.2721927
154	1.8999999999999997	0.26757145
155	1.8999999999999997	0.33562526
156	1.8999999999999997	0.3161367
157	1.8999999999999997	0.33399346
158	1.8999999999999997	0.27220556
159	1.8999999999999997	0.38944817
